Unnamed: 0,MSE,PSNR,NMI,SSIM,Site,Session,SoftwareVersion,Temperature
,0.0029274316882558,32.666636767545526,1.4545819220336296,0.9758620890547588,137-0027,2024-07-09 12_58_21,rc8.8.0_Beta1,28.0
,0.0029274316882558,32.666636767545526,1.4545819220336296,0.9758620890547588,137-0027,2024-07-09 12_58_21,rc8.8.0_Beta1,28.0
,0.0029268547672274,33.15237288756245,1.4596509777830096,0.9760090814879836,137-0027,2024-07-10 08_45_08,rc8.8.0_Beta1,28.0
,0.0029268547672274,33.15237288756245,1.4596509777830096,0.9760090814879836,137-0027,2024-07-10 08_45_08,rc8.8.0_Beta1,28.0
,0.0029073972175943,33.16626646669279,1.460299641165096,0.9756536379020304,137-0027,2024-07-16 08_50_18,rc8.8.0_Beta1,28.0
,0.0029073972175943,33.16626646669279,1.460299641165096,0.9756536379020304,137-0027,2024-07-16 08_50_18,rc8.8.0_Beta1,28.0
,0.0031271237666541,32.263597096785965,1.4476986231938735,0.97356819193884,137-0027,2024-07-28 10_22_12,rc8.8.0_Beta1,28.0
,0.0031271237666541,32.263597096785965,1.4476986231938735,0.97356819193884,137-0027,2024-07-28 10_22_12,rc8.8.0_Beta1,28.0
,0.0031012326045516,32.45707716665446,1.4488883707853135,0.9740860345974376,137-0027,2024-07-30 09_03_31,rc8.8.0_Beta1,28.0
,0.0031012326045516,32.45707716665446,1.4488883707853135,0.9740860345974376,137-0027,2024-07-30 09_03_31,rc8.8.0_Beta1,28.0
